'Standard Tables Program	
'=======================	
'Table x	AF92
Age	q{x}
17	0.000185
18	0.000193
19	0.000202
20	0.000212
21	0.000223
22	0.000235
23	0.000248
24	0.000263
25	0.000279
26	0.000297
27	0.000317
28	0.000339
29	0.000364
30	0.000391
31	0.000422
32	0.000455
33	0.000492
34	0.000533
35	0.000579
36	0.000629
37	0.000685
38	0.000747
39	0.000816
40	0.000892
41	0.000977
42	0.001070
43	0.001174
44	0.001288
45	0.001416
46	0.001556
47	0.001713
48	0.001886
49	0.002077
50	0.002290
51	0.002525
52	0.002786
53	0.003075
54	0.003395
55	0.003749
56	0.004142
57	0.004577
58	0.005058
59	0.005592
60	0.006183
61	0.006838
62	0.007562
63	0.008365
64	0.009254
65	0.010238
66	0.011327
67	0.012533
68	0.013867
69	0.015343
70	0.016977
71	0.018784
72	0.020783
73	0.022994
74	0.025438
75	0.028138
76	0.031123
77	0.034419
78	0.038059
79	0.042077
80	0.046510
81	0.051398
82	0.056786
83	0.062721
84	0.069254
85	0.076441
86	0.084340
87	0.093016
88	0.102533
89	0.112964
90	0.124381
91	0.136862
92	0.150486
93	0.165332
94	0.181481
95	0.199012
96	0.218002
97	0.238520
98	0.260630
99	0.284383
100	0.309814
101	0.336943
102	0.365762
103	0.396238
104	0.428303
105	0.461851
106	0.496734
107	0.532756
108	0.569670
109	0.607181
110	0.644942
111	0.682563
112	0.719616
113	0.755647
114	0.790192
115	0.822800
116	0.853050
117	0.880579
118	1.000000
